2020-12-27 19:25:34 INFO  root:59 - splatinum has logged in
2020-12-27 19:25:39 INFO  root:59 - splatinum has logged in
2020-12-27 19:25:54 INFO  root:40 - User Logged out
2020-12-27 19:25:54 INFO  root:96 - splatinum has logged out
2020-12-27 19:25:57 INFO  root:59 - splatinum has logged in
2020-12-27 19:25:59 INFO  root:40 - User Logged out
2020-12-27 19:25:59 INFO  root:96 - splatinum has logged out
2020-12-27 19:26:19 INFO  root:59 - splatinum has logged in
2020-12-27 19:26:19 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 19:26:29 INFO  root:40 - User Logged out
2020-12-27 19:26:29 INFO  root:96 - splatinum has logged out
2020-12-27 19:26:32 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:26:33 INFO  root:40 - Getting all reimbursements
2020-12-27 19:28:35 INFO  root:59 - splatinum has logged in
2020-12-27 19:28:35 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 19:29:13 INFO  root:40 - User Logged out
2020-12-27 19:29:13 INFO  root:96 - splatinum has logged out
2020-12-27 19:29:34 INFO  root:59 - splatinum has logged in
2020-12-27 19:29:35 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 19:30:08 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:30:09 INFO  root:40 - Getting all reimbursements
2020-12-27 19:30:45 INFO  root:40 - User Logged out
2020-12-27 19:30:45 INFO  root:96 - bubbleboy has logged out
2020-12-27 19:30:53 INFO  root:59 - splatinum has logged in
2020-12-27 19:30:54 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 19:30:59 INFO  root:40 - User Logged out
2020-12-27 19:30:59 INFO  root:96 - splatinum has logged out
2020-12-27 19:31:08 INFO  root:50 - Failed Login
2020-12-27 19:31:15 INFO  root:50 - Failed Login
2020-12-27 19:31:34 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:31:35 INFO  root:40 - Getting all reimbursements
2020-12-27 19:35:21 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:35:21 INFO  root:40 - Getting all reimbursements
2020-12-27 19:35:55 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:35:55 INFO  root:40 - Getting all reimbursements
2020-12-27 19:37:18 INFO  root:40 - User Logged out
2020-12-27 19:37:18 INFO  root:96 - bubbleboy has logged out
2020-12-27 19:37:24 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:37:24 INFO  root:40 - Getting all reimbursements
2020-12-27 19:38:43 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:38:43 INFO  root:40 - Getting all reimbursements
2020-12-27 19:39:11 INFO  root:40 - User Logged out
2020-12-27 19:39:11 INFO  root:96 - bubbleboy has logged out
2020-12-27 19:39:18 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:39:19 INFO  root:40 - Getting all reimbursements
2020-12-27 19:40:22 INFO  root:40 - User Logged out
2020-12-27 19:40:22 INFO  root:96 - bubbleboy has logged out
2020-12-27 19:40:28 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:40:29 INFO  root:40 - Getting all reimbursements
2020-12-27 19:41:15 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:41:15 INFO  root:40 - Getting all reimbursements
2020-12-27 19:41:37 INFO  root:40 - User Logged out
2020-12-27 19:41:37 INFO  root:96 - bubbleboy has logged out
2020-12-27 19:41:47 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:41:48 INFO  root:40 - Getting all reimbursements
2020-12-27 19:42:20 INFO  root:68 - Updated info of id 18 of reimbursement from: bubbleboy
2020-12-27 19:42:21 INFO  root:40 - Getting all reimbursements
2020-12-27 19:45:08 INFO  root:40 - User Logged out
2020-12-27 19:45:08 INFO  root:96 - bubbleboy has logged out
2020-12-27 19:45:15 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:45:15 INFO  root:40 - Getting all reimbursements
2020-12-27 19:46:05 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:46:06 INFO  root:40 - Getting all reimbursements
2020-12-27 19:46:33 INFO  root:59 - nyohoho has logged in
2020-12-27 19:46:34 INFO  root:40 - Getting all reimbursements
2020-12-27 19:47:21 INFO  root:40 - User Logged out
2020-12-27 19:47:21 INFO  root:96 - nyohoho has logged out
2020-12-27 19:47:30 INFO  root:59 - nyohoho has logged in
2020-12-27 19:47:31 INFO  root:40 - Getting all reimbursements
2020-12-27 19:48:58 INFO  root:40 - User Logged out
2020-12-27 19:48:58 INFO  root:96 - nyohoho has logged out
2020-12-27 19:49:06 INFO  root:59 - nyohoho has logged in
2020-12-27 19:49:06 INFO  root:40 - Getting all reimbursements
2020-12-27 19:49:43 INFO  root:59 - splatinum has logged in
2020-12-27 19:49:44 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 19:50:24 INFO  root:59 - splatinum has logged in
2020-12-27 19:50:24 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 19:50:36 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:50:36 INFO  root:40 - Getting all reimbursements
2020-12-27 19:51:11 INFO  root:40 - User Logged out
2020-12-27 19:51:11 INFO  root:96 - bubbleboy has logged out
2020-12-27 19:51:18 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:51:19 INFO  root:40 - Getting all reimbursements
2020-12-27 19:53:32 INFO  root:40 - User Logged out
2020-12-27 19:53:32 INFO  root:96 - bubbleboy has logged out
2020-12-27 19:53:39 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:53:40 INFO  root:40 - Getting all reimbursements
2020-12-27 19:54:40 INFO  root:50 - Failed Login
2020-12-27 19:54:48 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:54:48 INFO  root:40 - Getting all reimbursements
2020-12-27 19:55:22 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:55:22 INFO  root:40 - Getting all reimbursements
2020-12-27 19:56:58 INFO  root:40 - User Logged out
2020-12-27 19:56:58 INFO  root:96 - bubbleboy has logged out
2020-12-27 19:57:07 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:57:08 INFO  root:40 - Getting all reimbursements
2020-12-27 19:57:19 INFO  root:68 - Updated info of id 12 of reimbursement from: bubbleboy
2020-12-27 19:57:20 INFO  root:40 - Getting all reimbursements
2020-12-27 19:57:50 INFO  root:59 - splatinum has logged in
2020-12-27 19:57:51 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 19:58:46 INFO  root:59 - splatinum has logged in
2020-12-27 19:58:47 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 19:59:02 INFO  root:59 - bubbleboy has logged in
2020-12-27 19:59:03 INFO  root:40 - Getting all reimbursements
2020-12-27 20:00:17 INFO  root:40 - User Logged out
2020-12-27 20:00:17 INFO  root:96 - bubbleboy has logged out
2020-12-27 20:00:24 INFO  root:59 - splatinum has logged in
2020-12-27 20:00:24 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 20:00:46 INFO  root:59 - nyohoho has logged in
